1 	 757 	 511 	 369 	 27
2 	 514 	 243 	 984 	 6
3 	 565 	 816 	 718 	 13
4 	 72 	 973 	 306 	 22
5 	 236 	 528 	 44 	 4
6 	 443 	 648 	 694 	 29
7 	 727 	 719 	 577 	 29
8 	 170 	 140 	 597 	 25
9 	 946 	 444 	 849 	 17
10 	 694 	 415 	 602 	 10
11 	 696 	 866 	 681 	 21
12 	 971 	 634 	 32 	 22
13 	 606 	 340 	 475 	 23
14 	 75 	 585 	 738 	 19
15 	 908 	 262 	 896 	 17
16 	 157 	 211 	 745 	 23
17 	 169 	 112 	 945 	 6
18 	 273 	 315 	 2 	 26
19 	 184 	 157 	 57 	 2
20 	 506 	 658 	 727 	 11
21 	 963 	 305 	 350 	 9
22 	 96 	 294 	 843 	 17
23 	 316 	 304 	 837 	 6
24 	 364 	 483 	 332 	 16
25 	 292 	 875 	 936 	 14
26 	 27 	 904 	 795 	 29
27 	 1 	 676 	 860 	 9
28 	 53 	 421 	 401 	 20
29 	 656 	 567 	 796 	 20
30 	 444 	 61 	 979 	 13
31 	 17 	 299 	 709 	 7
32 	 139 	 41 	 7 	 29
33 	 345 	 230 	 721 	 13
34 	 322 	 186 	 401 	 3
35 	 390 	 640 	 991 	 19
36 	 198 	 730 	 254 	 24
37 	 460 	 346 	 762 	 16
38 	 97 	 880 	 628 	 20
39 	 284 	 350 	 656 	 1
40 	 801 	 460 	 457 	 15
41 	 947 	 439 	 599 	 15
42 	 597 	 279 	 683 	 12
43 	 382 	 477 	 183 	 12
44 	 386 	 346 	 701 	 15
45 	 908 	 609 	 53 	 30
46 	 727 	 862 	 108 	 26
47 	 842 	 512 	 505 	 24
48 	 720 	 214 	 229 	 4
49 	 168 	 575 	 763 	 9
50 	 335 	 26 	 770 	 7
51 	 453 	 99 	 140 	 14
52 	 670 	 864 	 9 	 28
53 	 29 	 521 	 633 	 19
54 	 299 	 627 	 641 	 7
55 	 639 	 167 	 213 	 4
56 	 602 	 437 	 195 	 9
57 	 947 	 370 	 327 	 17
58 	 368 	 336 	 602 	 3
59 	 536 	 541 	 378 	 1
60 	 958 	 620 	 461 	 14
61 	 343 	 754 	 262 	 11
62 	 31 	 217 	 305 	 26
63 	 294 	 284 	 761 	 15
64 	 692 	 675 	 849 	 19
65 	 104 	 998 	 68 	 20
66 	 659 	 362 	 710 	 29
67 	 616 	 255 	 501 	 14
68 	 991 	 670 	 207 	 19
69 	 241 	 555 	 112 	 16
70 	 149 	 550 	 739 	 2
71 	 226 	 825 	 242 	 22
72 	 933 	 68 	 504 	 13
73 	 273 	 194 	 29 	 1
74 	 403 	 358 	 807 	 17
75 	 542 	 849 	 803 	 20
76 	 135 	 191 	 408 	 7
77 	 395 	 872 	 874 	 21
78 	 798 	 591 	 403 	 3
79 	 252 	 887 	 373 	 6
80 	 470 	 540 	 41 	 19
81 	 340 	 300 	 329 	 16
82 	 554 	 856 	 501 	 13
83 	 15 	 229 	 620 	 1
84 	 936 	 74 	 335 	 8
85 	 107 	 522 	 111 	 18
86 	 215 	 323 	 321 	 8
87 	 996 	 170 	 697 	 29
88 	 634 	 620 	 23 	 15
89 	 98 	 966 	 65 	 1
90 	 148 	 720 	 183 	 3
91 	 103 	 859 	 879 	 5
92 	 487 	 21 	 55 	 10
93 	 151 	 370 	 72 	 28
94 	 713 	 53 	 711 	 12
95 	 362 	 80 	 413 	 19
96 	 821 	 656 	 502 	 1
97 	 842 	 432 	 375 	 15
98 	 575 	 558 	 844 	 11
99 	 650 	 419 	 134 	 23
100 	 808 	 816 	 846 	 9
101 	 143 	 482 	 354 	 28
102 	 498 	 261 	 437 	 24
103 	 662 	 288 	 470 	 26
104 	 86 	 363 	 408 	 14
105 	 406 	 286 	 271 	 14
106 	 463 	 305 	 280 	 28
107 	 387 	 629 	 418 	 7
108 	 489 	 751 	 343 	 26
109 	 257 	 705 	 33 	 13
110 	 310 	 388 	 20 	 24
111 	 499 	 397 	 104 	 17
112 	 283 	 666 	 677 	 13
113 	 932 	 289 	 286 	 1
114 	 907 	 311 	 907 	 5
115 	 346 	 669 	 7 	 2
116 	 762 	 252 	 467 	 17
117 	 236 	 166 	 814 	 24
118 	 772 	 693 	 523 	 9
119 	 896 	 254 	 995 	 15
120 	 430 	 406 	 944 	 20
121 	 769 	 451 	 646 	 1
122 	 159 	 119 	 233 	 21
123 	 874 	 420 	 367 	 8
124 	 706 	 994 	 336 	 12
125 	 989 	 723 	 362 	 30
126 	 827 	 510 	 880 	 24
127 	 668 	 781 	 148 	 21
128 	 556 	 524 	 324 	 21
129 	 70 	 354 	 238 	 9
130 	 233 	 795 	 727 	 21
131 	 547 	 116 	 6 	 15
132 	 82 	 585 	 150 	 19
133 	 879 	 793 	 859 	 13
134 	 789 	 629 	 830 	 12
135 	 11 	 867 	 731 	 21
136 	 40 	 204 	 124 	 23
137 	 469 	 861 	 237 	 23
138 	 741 	 483 	 323 	 30
139 	 182 	 823 	 929 	 25
140 	 747 	 736 	 523 	 5
141 	 769 	 360 	 530 	 5
142 	 770 	 415 	 964 	 15
143 	 506 	 323 	 108 	 27
144 	 188 	 289 	 575 	 26
145 	 666 	 689 	 310 	 13
146 	 127 	 239 	 641 	 15
147 	 265 	 639 	 407 	 27
148 	 733 	 929 	 913 	 4
149 	 592 	 333 	 307 	 26
150 	 991 	 1000 	 287 	 17
151 	 365 	 333 	 447 	 5
152 	 800 	 405 	 791 	 29
153 	 661 	 949 	 560 	 15
154 	 206 	 35 	 460 	 23
155 	 395 	 337 	 608 	 3
156 	 231 	 480 	 561 	 28
157 	 583 	 180 	 644 	 18
158 	 430 	 315 	 65 	 1
159 	 172 	 13 	 193 	 9
160 	 886 	 685 	 543 	 15
161 	 508 	 710 	 632 	 3
162 	 652 	 145 	 48 	 26
163 	 911 	 972 	 604 	 1
164 	 678 	 528 	 653 	 18
165 	 525 	 426 	 281 	 9
166 	 159 	 711 	 840 	 19
167 	 688 	 79 	 827 	 23
168 	 13 	 40 	 494 	 28
169 	 414 	 494 	 541 	 27
170 	 10 	 47 	 199 	 18
171 	 938 	 527 	 915 	 16
172 	 63 	 509 	 201 	 10
173 	 123 	 264 	 51 	 4
174 	 944 	 942 	 774 	 17
175 	 179 	 776 	 951 	 22
176 	 253 	 935 	 749 	 23
177 	 143 	 801 	 74 	 12
178 	 640 	 531 	 795 	 24
179 	 967 	 603 	 777 	 15
180 	 482 	 484 	 365 	 15
181 	 89 	 351 	 585 	 4
182 	 294 	 325 	 368 	 24
183 	 315 	 907 	 12 	 18
184 	 638 	 325 	 4 	 2
185 	 288 	 135 	 166 	 17
186 	 626 	 404 	 86 	 28
187 	 347 	 513 	 147 	 13
188 	 721 	 186 	 958 	 22
189 	 84 	 247 	 370 	 21
190 	 707 	 711 	 83 	 8
191 	 1 	 420 	 363 	 30
192 	 23 	 401 	 15 	 17
193 	 81 	 600 	 668 	 9
194 	 628 	 967 	 292 	 21
195 	 390 	 851 	 952 	 22
196 	 221 	 684 	 77 	 20
197 	 3 	 634 	 864 	 28
198 	 769 	 802 	 160 	 14
199 	 78 	 239 	 486 	 29
200 	 84 	 970 	 336 	 29
201 	 854 	 409 	 541 	 2
202 	 839 	 21 	 218 	 23
203 	 56 	 966 	 760 	 30
204 	 108 	 634 	 901 	 3
205 	 101 	 929 	 701 	 22
206 	 939 	 335 	 243 	 12
207 	 919 	 853 	 420 	 10
208 	 13 	 994 	 195 	 24
209 	 710 	 46 	 717 	 12
210 	 705 	 670 	 709 	 1
211 	 951 	 185 	 182 	 18
212 	 337 	 168 	 787 	 28
213 	 523 	 830 	 769 	 12
214 	 409 	 300 	 862 	 9
215 	 521 	 266 	 261 	 28
216 	 89 	 89 	 402 	 16
217 	 766 	 365 	 723 	 15
218 	 106 	 618 	 541 	 8
219 	 961 	 273 	 830 	 14
220 	 158 	 875 	 639 	 24
221 	 505 	 590 	 229 	 8
222 	 146 	 785 	 366 	 14
223 	 914 	 923 	 331 	 23
224 	 57 	 225 	 817 	 2
225 	 868 	 557 	 11 	 5
